id,datum
12,916146881
13,916146911
14,917961213
15,917961238
16,922194946
17,922194925
18,926424887
19,926424861
20,930658556
21,930658586
23,939730257
24,939730231
25,943967653
26,943967674
61,838123200
62,838123200
63,844178400
64,844178400
65,846669600
66,846666000
67,850222800
68,850222800
69,855061200
70,855061200
73,859294800
74,859294800
75,863524800
76,863524800
77,867758400
78,867758400
79,873201600
82,873201600
83,876830400
84,876830400
85,881067600
86,881067600
87,885906000
88,885906000
89,886510800
90,886510800
91,890744400
92,890744400
93,894974400
94,894974400
98,908280000
99,908280000
100,911912400
101,911912400
102,948201119
103,948201093
104,951225069
105,951225111
106,954850430
107,954850396
108,958481356
109,958481442
110,962107953
111,962108040
112,968915827
113,968915748
114,971784885
115,971785010
116,975417361
117,980255818
118,980255714
119,982674827
120,982674904
121,986300158
122,986300072
123,989928691
124,989928763
125,993557572
126,993557660
127,1000816456
128,1000816576
129,1003234867
130,1003234990
131,1006866987
132,1006866867
133,1012310086
134,1012310178
135,1015938785
136,1015938892
137,1019564088
138,1019564272
139,1023956248
140,1023956330
141,1026821469
142,1026821391
143,1028635834
144,1028635943
145,1031818616
146,1031818541
147,1034079452
148,1034079822
149,1036656941
150,1036657042
151,1038316350
152,1038316154
153,1045573616
154,1045573734
155,1049199120
156,1049199197
157,1049803775
158,1049803897
159,1052827876
160,1052827990
161,1056456859
162,1056456721
165,1064319372
166,1064319337
173,1066133469
174,1066133525
176,1069766054
177,1069765948
178,1074085906
179,1074085946
180,1076418777
181,1076418691
183,1080061448
185,1080061510
186,1083672553
187,1083672500
188,1087301433
189,1087301499
190,1095932651
191,1095932624
192,1097746432
194,1097746911
195,1098351398
196,1098351565
197,1099564860
199,1099564787
200,1101379259
203,1101379218
204,1103193213
206,1103193130
207,1108031490
208,1108031448
210,1108638047
211,1108635883
214,1109240997
215,1109241084
216,1111660216
217,1111660293
218,1112261158
219,1115284669
220,1115284634
221,1115888852
222,1115888806
224,1118914101
225,1118914148
226,1119518167
227,1120122614
229,1120122705
230,1124356829
231,1124356744
232,1127380765
233,1127380847
238,1129194991
239,1129195072
240,1129799007
241,1129799082
242,1130404212
243,1130404289
244,1132826732
245,1132826684
246,1133433498
247,1133433437
248,1134036455
250,1134036382
251,1134641509
256,1134641585
257,1138269829
258,1138269882
259,1138874610
260,1138874569
261,1139479373
262,1139479331
263,1141898851
264,1141898907
265,1142503481
266,1142503543
268,1145523916
269,1145523983
271,1161853873
272,1161854020
274,1164882091
275,1164882167
277,1170325768
278,1170325710
279,1170931714
281,1170931803
282,1173954597
283,1173954719
284,1177578528
285,1177578464
286,1178187876
287,1178183267
288,1178787929
289,0
290,1181209450
291,1181209536
292,1181814448
293,1181814508
294,1190885795
295,1190885860
296,1192699342
297,1192699399
298,1193305413
299,1193305330
300,1196332402
301,1196332338
302,1196936751
303,1196936812
304,1201775519
305,1201775439
306,1205403298
307,1205403348
308,1206007676
309,1206007745
311,1209029309
312,1209029247
313,1212658711
314,1212658670
315,1213263194
316,1213262601
317,1213866411
318,1213866291
320,1222333662
321,1222333730
322,1224752726
323,1224752682
324,1225361228
325,1225361265
327,1233829354
328,1233829434
329,1234433570
330,1234433485
331,1235039490
332,1235039436
333,1237457988
334,1237457930
335,1238062046
336,1238061980
337,1244711205
338,1244711141
339,1245316392
340,1245316344
341,1252573416
342,1252573459
344,1254388041
345,1254387985
346,1256202219
347,1256202158
348,1257415998
349,1257415932
350,1259834888
351,1259834838
352,1260440042
353,1260440100
354,1264673300
355,1264673366
356,1265278520
357,1265278582
358,1265882805
359,1265882868
360,1268302031
361,1268302117
362,1268906749
363,1268906688
364,1271322124
365,1271322210
366,0
367,0
368,1285233254
369,1285233341
370,1288865735
371,1288865870
372,1291889033
373,1291889093
374,1292493765
375,1292493822
376,1296729184
377,1296729279
378,1297332200
379,1297332279
380,1300961779
381,1300961663
382,1303981899
383,1303981969
384,1304586626
385,1304586536
386,1307610366
387,1307610444
388,1308216774
389,1308216707
390,1316683326
391,1316683412
392,1319706506
393,1319706448
394,1320315830
395,1320315903
396,1323338820
397,1323338695
398,1323943385
399,1323943449
400,1328178452
401,1328178524
402,1328783518
403,1328783637
404,1331806554
405,1331806637
406,1336035939
407,1336036003
408,1339060364
409,1339060269
410,1339664911
411,1339664844
412,1346923789
413,1346923874
414,1348131975
415,1348132045
416,1351155862
417,1351155795
418,1352369424
419,1352369371
420,1354788309
421,1354788255
422,1355393270
423,1355393347
424,1360231539
425,1360231480
426,1360837490
427,1360837557
428,1363860159
429,1363860239
430,1368090930
431,1368090874
432,1368696572
433,1368696673
435,1371114186
436,1371114243
