id,losovani_id,poslanec_id,ministr_id,vec
5386,219,136,422,ve věci kroků vlády k ochraně textil. průmyslu v ČR
5387,219,136,237,ve věci finanční bilance ČR - EU za rok 2004
5388,220,5260,5384,ve věci výměny občanských průkazů pro starší občany
5389,219,360,389,ve věci převodu kasáren v Rožmitále pod Třemštínem
5390,219,360,389,ve věci převodu administrativy do služebního poměru
5391,219,360,5383,ve věci medializace kauzy Lachnit
5392,219,360,5383,ve věci postupu policie při vyšetřování kauzy Mlynář
5393,219,360,5383,ve věci duplicitního osvědčení pro Jiřího Paroubka
5394,219,5273,403,ve věci předání trestního stíhání Hámada bin Abdal Sáního
5395,219,437,237,ve věci výběru cel
5396,219,5259,5391,ve věci přístupnosti PVS
5397,220,360,5384,ve věci řešení dluhů VZP vůči zdravotnickým zařízením
5398,220,437,5384,ve věci privatizace majetkových podílů státu
5399,220,371,5384,ve věci vyjednávání podpory vlády
5400,221,266,5383,ve věci zásahu na Letné
5401,221,266,403,ve věci postupu stát. zast. v případě exministra Mlynáře
5402,221,266,5383,ve věci inventarizačního schodku Policejního prezidia
5403,221,266,5326,ve věci legalizace kradených aut
5404,221,266,5383,ve věci dalších pochybení při přezbrojování PČR
5405,221,5321,16,ve věci změny přidělování st. dotace na ubytování
5406,221,5321,295,ve věci počtu pracovníků správy ChKO ČR
5407,221,347,396,ve věci střetu zájmů
5408,221,347,5326,ve věci financování infrastruktury
5409,222,347,5384,ve věci sestavování vlády
5410,222,5321,5384,ve věci řešení protidrogové legislativy v ČR
5411,221,437,422,ve věci offsetů
5412,221,5259,5391,ve věci elektronického podpisu
5413,221,421,211,ve věci baby boxů v porodnicích
5414,221,360,5383,ve věci medializace kauzy Lachnit
5415,221,371,396,ve věci vládních zmocněnců v krajích
5416,221,360,5383,ve věci duplicitního lustračního osvědčení premiéra
5417,221,360,5294,ve věci dluhů MZe za pozemkové úpravy
5418,221,360,5383,ve věci postupu policie při vyšetřování kauzy Mlynář
5419,221,269,5294,ve věci intervenčního nákupu obilí
5420,222,423,5384,ve věci příjmu státního rozpočtu z právnických osob
5421,222,5253,5384,ve věci majetkových podílů opravněných osob z transformace ZD
5422,222,5256,5384,ve věci okolností provázejících privatizaci TELECOMu
5423,222,437,5384,ve věci podniku ČEPRO
5424,222,360,5384,ve věci deficitu ve zdravotnictví
5425,224,246,295,ve věci rušení pokut čs. inspekce ž.p. firmě STAMP-LZ
5426,224,266,5383,ve věci reakcí policejní mluvčí
5427,224,266,5383,ve věci rušení obvodních oddělení
5428,224,266,5383,ve věci inventarizačního schodku Policejního prezidia
5429,224,266,5383,ve věci dalších pochybení při přezbrojování PČR
5430,224,317,416,ve věci vyjadřování ve vztahu ke Kubě
5431,224,5302,5326,ve věci duplicitní dopravní obslužnosti
5432,224,5275,5294,ve věci veřejné nabídky pozemku na Šumavě
5433,224,347,211,ve věci lékové vyhlášky
5434,224,347,5326,ve věci výdaje na silniční infrastrukturu
5435,224,5278,5326,ve věci vydávání řidičských oprávnění
5436,224,5378,295,ve věci ratifikace mezinárodních smluv
5437,224,5256,389,ve věci národního hrdiny gen. Pernického a péče o válečné veterány
5438,224,5256,389,ve věci likvidace munice Armády ČR
5439,224,5256,5391,ve věci rámcové smlouvy vlády ČR s Č. Telecomem ze dne 23. 10. 2001
5440,224,269,5294,ve věci střetu zájmů
5441,224,273,5326,ve věci výběru systému mýtného v ČR
5442,224,5375,211,ve věci IZPE
5443,224,277,5326,ve věci zavádění výkonového zpoplatnění v ČR
5444,224,421,239,ve věci přiznávání důchodů občanům Ruska
5445,225,5375,5384,ve věci Úřadu pro ochranu hospodářské soutěže
5446,226,246,295,ve věci provozování nepovolené skládky firmou STAMP-LZ
5447,226,360,16,ve věci vyhlášky o předškolním vzdělávání - úhrada
5448,226,360,5294,ve věci dluhů MZe za pozemkové úpravy
