id,bod,datum,votes_pro,votes_proti,votes_zdrzel,votes_nehlasoval,prihlaseno,vysledek,nazev
53522,42,0,73,22,45,4,144,A,Novela%20z.%20o%20inf.%20syst%E9mech%20ve%u0159.%20spr%E1vy%20a%20o%20elektron.%20%FAkonech
53523,42,0,121,0,3,1,125,A,Novela%20z.%20o%20inf.%20syst%E9mech%20ve%u0159.%20spr%E1vy%20a%20o%20elektron.%20%FAkonech
53524,42,0,75,33,20,2,130,A,Novela%20z.%20o%20inf.%20syst%E9mech%20ve%u0159.%20spr%E1vy%20a%20o%20elektron.%20%FAkonech
53525,52,0,93,1,31,0,125,A,Novela%20z.%20o%20zvl%E1%u0161tn%ED%20ochran%u011B%20sv%u011Bdka
53526,52,0,20,89,18,9,136,R,Novela%20z.%20o%20zvl%E1%u0161tn%ED%20ochran%u011B%20sv%u011Bdka
53527,52,0,122,2,13,0,137,A,Novela%20z.%20o%20zvl%E1%u0161tn%ED%20ochran%u011B%20sv%u011Bdka
53528,52,0,118,3,16,0,137,A,Novela%20z.%20o%20zvl%E1%u0161tn%ED%20ochran%u011B%20sv%u011Bdka
53529,64,0,119,0,14,0,133,A,%DAmluva%20o%20kazetov%E9%20munici
53530,104,0,108,1,22,1,132,A,Inf.%20o%20vojensk%FDch%20cvi%u010Den%EDch%20A%u010CR%20%u010Dervenec%20-%20prosinec%202010
53531,105,0,83,19,29,0,131,A,Inf.%20o%20p%u0159eletech%20a%20pr%u016Fjezdech%20ozbroj.%20sil%20ve%202.%20pol.%202010
53532,25,0,101,0,32,1,134,A,Novela%20z.%20o%20st%E1tn%ED%20pam%E1tkov%E9%20p%E9%u010Di
53533,25,0,108,1,26,0,135,A,Novela%20z.%20o%20st%E1tn%ED%20pam%E1tkov%E9%20p%E9%u010Di
53534,26,0,100,1,33,0,134,A,Novela%20z.%20o%20St%E1tn%EDm%20zem%u011Bd.%20interven%u010Dn%EDm%20fondu
53535,26,0,95,2,37,1,135,A,Novela%20z.%20o%20St%E1tn%EDm%20zem%u011Bd.%20interven%u010Dn%EDm%20fondu
53536,26,0,70,16,45,4,135,A,Novela%20z.%20o%20St%E1tn%EDm%20zem%u011Bd.%20interven%u010Dn%EDm%20fondu
53537,37,0,107,0,2,0,109,A,Vl.n.z.%20o%20chemick%FDch%20l%E1tk%E1ch%20%28chemick%FD%20z%E1kon%29%20-%20EU
53538,0,1299279600,105,73,4,5,187,A,%20
53539,0,1299279600,101,76,11,0,188,A,Po%u0159ad%20sch%u016Fze
53540,0,1299279600,120,40,20,8,188,A,Po%u0159ad%20sch%u016Fze
53541,0,1299279600,181,2,3,2,188,A,Po%u0159ad%20sch%u016Fze
53542,0,1299279600,169,0,19,0,188,A,Po%u0159ad%20sch%u016Fze
53543,0,1299279600,184,1,3,0,188,A,Po%u0159ad%20sch%u016Fze
53544,0,1299279600,171,1,15,1,188,A,Po%u0159ad%20sch%u016Fze
53545,0,1299279600,86,79,12,12,189,R,Po%u0159ad%20sch%u016Fze
53546,0,1299279600,66,72,37,14,189,R,Po%u0159ad%20sch%u016Fze
53547,0,1299279600,80,104,3,2,189,R,Po%u0159ad%20sch%u016Fze
53548,0,1299279600,113,67,5,4,189,A,Po%u0159ad%20sch%u016Fze
53549,0,1299279600,182,0,7,0,189,A,Po%u0159ad%20sch%u016Fze
53550,0,1299279600,170,2,14,3,189,A,Po%u0159ad%20sch%u016Fze
53551,0,1299279600,163,5,14,6,188,A,%20
53552,0,1299279600,105,72,2,1,180,A,Po%u0159ad%20sch%u016Fze
53553,2,1299279600,159,9,15,4,187,A,Novela%20z.%20o%20provozu%20na%20pozemn%EDch%20komunikac%EDch
53554,3,1299279600,158,0,27,0,185,A,Novela%20z.%20o%20dr%E1h%E1ch%20-%20EU
53555,4,1299279600,67,73,40,6,186,R,Novela%20z.%20o%20v%FDkonu%20povol%E1n%ED%20autorizovan%FDch%20architekt%u016F
53556,4,1299279600,150,0,33,4,187,A,Novela%20z.%20o%20v%FDkonu%20povol%E1n%ED%20autorizovan%FDch%20architekt%u016F
53557,5,1299279600,53,127,10,2,192,R,Novela%20z%20-%20ob%u010Dansk%FD%20z%E1kon%EDk
53558,5,1299279600,108,73,8,3,192,A,Novela%20z%20-%20ob%u010Dansk%FD%20z%E1kon%EDk
53559,39,1299279600,75,95,0,0,170,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53560,39,1299279600,74,95,2,1,172,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53561,39,1299279600,83,75,12,5,175,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53562,39,1299279600,79,104,4,0,187,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
53563,39,1299279600,77,107,3,0,187,R,Novela%20z.%20o%20ve%u0159ejn%E9m%20zdravotn%EDm%20poji%u0161t%u011Bn%ED%20-%20EU
