id,titul_pred,prijmeni,jmeno,titul_za,poslanec_2010,preferencni,novacek,interpelace_source_count,interpelace_target_count,zakony_predkladatel_count,absence_count,nazor_count,possible_votes_count,vystoupeni_count,strana_id,kraj_id,from_date,to_date,activity_index
65,MUDr.,Kašpárek,Miroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
66,Ing.,Kavan,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
67,Ing.,Klas,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
68,Ing.,Klučka,Václav, ,1,0,0,168,0,29,1250,3001,4434,138,2,3,1275084000,0,180
69, ,Koháček,Petr, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
70,Ing.,Kolář,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
71,Ing.,Kolář,Robert, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
72,MUDr.,Kolářová,Milena, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
73, ,Koronthály,Vladimír, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
74,Ing.,Koucký,Jan,"",0,0,0,0,0,0,0,0,0,0,,,0,0,186
75, ,Kozák,Stanislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
76,PhDr.,Kozel,František, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
77,Mgr. Ing.,Kraus,Michal,"Ph.D., MBA",0,0,0,0,0,0,0,0,0,0,,,0,0,186
78, ,Krámek,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
79, ,Krása,Václav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
80, ,Krupík,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
81,JUDr.,Kryčer,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
82,Ing.,Křížek,Josef,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
83, ,Kuba,Bohuslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
84, ,Kubiš,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
85,PaedDr.,Kuchař,Vlastislav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
86,PhMr.,Kulička,Pavel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
87,Ing.Mgr.,Kužílek,Oldřich, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
88, ,Lagová,Hana, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
89, ,Ledvinka,Karel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
90,Ing.,Litomiský,Jan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
91,RNDr.,Lobkowicz,Michal, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
92,Mgr. art.,Lojdová,Kateřina, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
93, ,Loukota,Milan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
94,Mgr.,Lukáš,Věnceslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
95,Ing.,Mach,Karel, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
96,Doc. PhDr.,Machalík,Jiří,CSc.,0,0,0,0,0,0,0,0,0,0,,,0,0,186
97,Ing.,Macháček,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
98,Ing.,Mandelík,Richard, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
99,Ing.,Mandík,Josef, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
100,JUDr.,Marvanová,Hana, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
101,Ing.,Maryt,Jiří, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
102,Ing.,Mašek,Ivan, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
103, ,Matějka,Jaroslav, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
104, ,Matoušková,Eva, ,0,0,0,0,0,0,0,0,0,0,,,0,0,186
